,Area,BHK,Bathroom,Furnishing,Locality,Price
0,800.0,3,2.0,Semi-Furnished,Rohini Sector,6500000
1,750.0,2,2.0,Semi-Furnished,J R Designers,5000000
2,950.0,2,2.0,Furnished,other,15500000
3,600.0,2,2.0,Semi-Furnished,Rohini Sector,4200000
4,650.0,2,2.0,Semi-Furnished,Rohini Sector,6200000
5,1300.0,4,3.0,Semi-Furnished,Rohini Sector,15500000
6,1350.0,4,3.0,Semi-Furnished,Rohini Sector,10000000
7,650.0,2,2.0,Semi-Furnished,other,4000000
8,985.0,3,3.0,Unfurnished,Rohini Sector,6800000
9,1300.0,4,4.0,Semi-Furnished,Rohini Sector,15000000
10,1100.0,3,2.0,Semi-Furnished,Rohini Sector,6200000
11,870.0,3,2.0,Semi-Furnished,Rohini Sector,7700000
12,630.0,2,2.0,Semi-Furnished,Rohini Sector,5500000
13,660.0,2,2.0,Semi-Furnished,Rohini Sector,5000000
14,344.4448,2,2.0,Semi-Furnished,Rohini Sector,3310000
15,660.0,2,2.0,Semi-Furnished,Rohini Sector,4700000
16,550.0,2,2.0,Semi-Furnished,Rohini Sector,4500000
17,1100.0,4,3.0,Semi-Furnished,Rohini Sector,17000000
18,1150.0,3,3.0,Semi-Furnished,Rohini Sector,25000000
19,650.0,2,2.0,Semi-Furnished,Rohini Sector,6000000
20,850.0,2,2.0,Semi-Furnished,other,11000000
21,900.0,3,2.0,Semi-Furnished,other,4500000
22,430.556,1,1.0,Furnished,Rohini Sector,5300000
23,900.0,2,2.0,Semi-Furnished,other,10500000
24,914.9315,2,2.0,Semi-Furnished,Rohini Sector,12000000
25,1100.0,3,3.0,Furnished,Rohini Sector,7000000
26,800.0,3,2.0,Semi-Furnished,Rohini Sector,7000000
27,500.0,1,1.0,Semi-Furnished,other,3400000
28,28.0,2,2.0,Furnished,Rohini Sector,5000000
29,2160.0,4,4.0,Furnished,Rohini Sector,21000000
30,1500.0,1,2.556085918854415,Unfurnished,Lajpat Nagar,13500000
31,800.0,2,2.0,Unfurnished,Lajpat Nagar,15000000
32,900.0,2,2.0,Unfurnished,Lajpat Nagar,10500000
33,1080.0,3,2.0,Semi-Furnished,other,22500000
34,750.0,2,2.0,Unfurnished,Lajpat Nagar,13600000
35,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar,30000000
36,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,13500000
37,810.0,2,2.0,Semi-Furnished,other,8910000
38,1350.0,3,4.0,Unfurnished,Lajpat Nagar,25000000
39,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
40,1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,30000000
41,1280.0,2,2.0,Furnished,Lajpat Nagar,12500000
42,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar,21000000
43,1130.0,2,2.0,Unfurnished,Lajpat Nagar,7800000
44,600.0,2,2.0,Semi-Furnished,other,11500000
45,850.0,2,2.0,Semi-Furnished,Lajpat Nagar,11500000
46,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
47,900.0,2,2.0,Semi-Furnished,other,13000000
48,1000.0,3,3.0,Semi-Furnished,other,22000000
49,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,15800000
50,2925.0,4,4.0,Unfurnished,Lajpat Nagar,57500000
51,900.0,2,2.0,Unfurnished,Lajpat Nagar,10000000
52,1600.0,3,3.0,Unfurnished,Lajpat Nagar,30000000
53,1143.0,3,3.0,Unfurnished,other,22000000
54,1150.0,3,3.0,Semi-Furnished,other,24000000
55,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,31500000
56,850.0,2,2.0,Semi-Furnished,Lajpat Nagar,14600000
57,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,240000000
58,890.0,2,2.0,Semi-Furnished,Lajpat Nagar,8300000
59,1100.0,3,3.0,Unfurnished,other,22500000
60,750.0,1,1.0,Furnished,other,4600000
61,850.0,2,1.0,Semi-Furnished,other,1900000
62,1350.0,3,2.0,Unfurnished,other,5130000
63,1387.0,4,4.0,Unfurnished,other,5890000
64,1050.0,3,2.0,Unfurnished,other,3700000
65,1500.0,3,2.0,Unfurnished,other,17400000
66,1200.0,3,3.0,Semi-Furnished,other,15500000
67,700.0,2,1.0,Semi-Furnished,other,2400000
68,1700.0,3,2.0,Semi-Furnished,other,17200000
69,1550.0,3,2.0,Furnished,other,14200000
70,1400.0,3,3.0,Semi-Furnished,other,13500000
71,1900.0,4,4.0,Semi-Furnished,other,30000000
72,2160.0,4,3.0,Unfurnished,other,21000000
73,1700.0,4,3.0,Unfurnished,other,20500000
74,1850.0,3,4.0,Semi-Furnished,other,24000000
75,1800.0,4,2.0,Semi-Furnished,other,16500000
76,1620.0,3,2.0,Semi-Furnished,other,14900000
77,1800.0,4,3.0,Furnished,other,19200000
78,1540.0,3,3.0,Semi-Furnished,other,14500000
79,1600.0,3,3.0,Semi-Furnished,other,15600000
80,1400.0,3,2.0,Unfurnished,other,11400000
81,2300.0,4,4.0,Furnished,other,31500000
82,1560.0,3,2.0,Furnished,other,15800000
83,1500.0,3,3.0,Semi-Furnished,other,16000000
84,1540.0,3,3.0,Semi-Furnished,other,14500000
85,1050.0,2,2.0,Unfurnished,other,10500000
86,1800.0,3,2.0,Semi-Furnished,other,14800000
87,400.0,1,1.0,Semi-Furnished,other,1850000
88,1150.0,3,2.0,Semi-Furnished,other,6800000
89,1525.0,3,3.0,Semi-Furnished,other,14200000
90,900.0,1,1.0,Semi-Furnished,Lajpat Nagar,8900000
91,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar,37500000
92,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar,30000000
93,1260.0,3,3.0,Semi-Furnished,Lajpat Nagar,21000000
94,2925.0,4,4.0,Unfurnished,Lajpat Nagar,57500000
95,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar,30000000
96,1600.0,3,3.0,Unfurnished,Lajpat Nagar,30000000
97,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,31500000
98,2200.0,3,3.0,Unfurnished,Lajpat Nagar,30000000
99,1350.0,3,3.0,Unfurnished,Lajpat Nagar,41500000
100,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar,24800000
101,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar,35000000
102,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,40000000
103,2880.0,4,5.0,Unfurnished,Lajpat Nagar,46000000
104,2700.0,4,4.0,Semi-Furnished,Lajpat Nagar,55000000
105,1400.0,3,3.0,Unfurnished,Lajpat Nagar,24500000
106,1800.0,3,3.0,Unfurnished,Lajpat Nagar,24500000
107,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar,32500000
108,1000.0,2,2.0,Furnished,Lajpat Nagar,20000000
109,8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,240000000
110,1000.0,2,2.0,Furnished,Lajpat Nagar,20000000
111,1700.0,3,3.0,Furnished,Lajpat Nagar,19000000
112,1600.0,3,3.0,Unfurnished,Lajpat Nagar,26000000
113,1350.0,3,3.0,Unfurnished,Lajpat Nagar,21000000
114,1700.0,3,3.0,Semi-Furnished,Lajpat Nagar,27500000
115,1400.0,3,3.0,Semi-Furnished,Lajpat Nagar,32500000
116,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar,45000000
117,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar,21000000
118,1700.0,3,3.0,Unfurnished,Lajpat Nagar,28000000
119,1600.0,3,3.0,Unfurnished,Lajpat Nagar,29500000
120,1500.0,1,2.556085918854415,Unfurnished,Lajpat Nagar,13500000
121,800.0,2,2.0,Unfurnished,Lajpat Nagar,14000000
122,1710.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
123,1350.0,2,2.0,Furnished,Lajpat Nagar,12500000
124,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
125,750.0,2,2.0,Semi-Furnished,other,11500000
126,850.0,2,2.0,Semi-Furnished,Lajpat Nagar,14600000
127,1575.0,3,3.0,Semi-Furnished,Lajpat Nagar,25500000
128,1675.0,3,3.0,Semi-Furnished,Lajpat Nagar,31000000
129,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar,22000000
130,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,13400000
131,1800.0,3,3.0,Semi-Furnished,Lajpat Nagar,35000000
132,900.0,2,2.0,Furnished,Lajpat Nagar,11000000
133,900.0,2,2.0,Unfurnished,other,6300000
134,900.0,2,2.0,Furnished,Lajpat Nagar,12500000
135,800.0,2,2.0,Unfurnished,Lajpat Nagar,14500000
136,1100.0,2,3.0,Semi-Furnished,Lajpat Nagar,22500000
137,810.0,2,2.0,Semi-Furnished,Lajpat Nagar,15500000
138,1500.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
139,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,15800000
140,825.0,2,2.0,Unfurnished,Lajpat Nagar,15000000
141,900.0,2,2.0,Unfurnished,Lajpat Nagar,13000000
142,875.0,2,2.0,Unfurnished,Lajpat Nagar,15000000
143,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar,25000000
144,750.0,2,2.0,Semi-Furnished,Lajpat Nagar,16500000
145,900.0,2,2.0,Unfurnished,Lajpat Nagar,10300000
146,1350.0,3,3.0,Semi-Furnished,Lajpat Nagar,26000000
147,900.0,2,2.0,Unfurnished,Lajpat Nagar,11000000
148,1800.0,3,3.0,Unfurnished,Lajpat Nagar,28500000
149,900.0,2,2.0,Unfurnished,Lajpat Nagar,11000000
150,900.0,2,1.0,Furnished,Budh Vihar,11000000
151,810.0,3,2.0,Semi-Furnished,Budh Vihar,4500000
152,450.0,2,1.0,Unfurnished,other,3600000
153,100.0,3,2.0,Furnished,Budh Vihar Phase,4300000
154,900.0,3,2.0,Semi-Furnished,Budh Vihar,4000000
155,500.0,2,2.0,Semi-Furnished,Budh Vihar Phase,1650000
156,450.0,1,1.0,Furnished,Budh Vihar,2000000
157,75.0,2,2.0,Semi-Furnished,Budh Vihar,3000000
158,270.0,2,1.0,Semi-Furnished,Budh Vihar Phase,1400000
159,500.0,2,1.0,Semi-Furnished,Budh Vihar Phase,2000000
160,444.0,2,2.0,Unfurnished,Budh Vihar Phase,2000000
161,400.0,1,1.0,Furnished,Budh Vihar,2000000
162,729.0,3,4.0,Furnished,Budh Vihar,2600000
163,4050.0,6,3.0,Furnished,Budh Vihar Phase,5100000
164,2400.0,6,4.0,Furnished,Budh Vihar Phase,6000000
165,450.0,2,2.0,Furnished,Budh Vihar,4000000
166,405.0,2,3.0,Furnished,Budh Vihar Phase,6200000
167,666.0,1,2.0,Furnished,Budh Vihar Phase,3500000
168,1000.0,2,2.0,Semi-Furnished,other,7600000
169,1360.0,4,3.0,Semi-Furnished,Rohini Sector,13500000
170,1550.0,4,3.0,Semi-Furnished,Rohini Sector,12500000
171,850.0,3,2.0,Semi-Furnished,Rohini Sector,6500000
172,2170.0,4,4.0,Unfurnished,Rohini Sector,22000000
173,720.0,3,2.0,Semi-Furnished,Rohini Sector,6000000
174,850.0,3,2.0,Semi-Furnished,Rohini Sector,7300000
175,950.0,3,2.0,Semi-Furnished,Rohini Sector,7600000
176,2300.0,4,4.0,Semi-Furnished,Rohini Sector,20000000
177,1300.0,4,4.0,Semi-Furnished,Rohini Sector,15000000
178,1100.0,3,2.0,Semi-Furnished,Rohini Sector,6200000
179,1030.0,3,2.0,Furnished,Rohini Sector,6200000
180,350.0,1,1.0,Semi-Furnished,other,2300000
181,750.0,2,2.0,Semi-Furnished,J R Designers,5000000
182,720.0,2,2.0,Semi-Furnished,J R Designers,4700000
183,800.0,2,2.0,Semi-Furnished,J R Designers,5500000
184,350.0,1,1.0,Semi-Furnished,J R Designers,2000000
185,980.0,3,2.0,Semi-Furnished,J R Designers,7300000
186,1600.0,4,3.0,Semi-Furnished,J R Designers,13000000
